h00v08, -20015109.354, 1111950.520
h00v09, -20015109.354, 0.000
h00v10, -20015109.354, -1111950.520
h01v07, -18903158.834, 2223901.039
h01v08, -18903158.834, 1111950.520
h01v09, -18903158.834, 0.000
h01v10, -18903158.834, -1111950.520
h01v11, -18903158.834, -2223901.039
h02v06, -17791208.315, 3335851.559
h02v08, -17791208.315, 1111950.520
h02v09, -17791208.315, 0.000
h02v10, -17791208.315, -1111950.520
h02v11, -17791208.315, -2223901.039
h03v05, -16679257.795, 4447802.079
h03v06, -16679257.795, 3335851.559
h03v07, -16679257.795, 2223901.039
h03v08, -16679257.795, 1111950.520
h03v09, -16679257.795, 0.000
h03v10, -16679257.795, -1111950.520
h03v11, -16679257.795, -2223901.039
h04v05, -15567307.275, 4447802.079
h04v09, -15567307.275, 0.000
h04v10, -15567307.275, -1111950.520
h04v11, -15567307.275, -2223901.039
h05v10, -14455356.756, -1111950.520
h05v11, -14455356.756, -2223901.039
h05v13, -14455356.756, -4447802.079
h06v03, -13343406.236, 6671703.118
h06v11, -13343406.236, -2223901.039
h07v03, -12231455.716, 6671703.118
h07v05, -12231455.716, 4447802.079
h07v06, -12231455.716, 3335851.559
h07v07, -12231455.716, 2223901.039
h08v03, -11119505.197, 6671703.118
h08v04, -11119505.197, 5559752.598
h08v05, -11119505.197, 4447802.079
h08v06, -11119505.197, 3335851.559
h08v07, -11119505.197, 2223901.039
h08v08, -11119505.197, 1111950.520
h08v09, -11119505.197, 0.000
h08v11, -11119505.197, -2223901.039
h09v02, -10007554.677, 7783653.638
h09v03, -10007554.677, 6671703.118
h09v04, -10007554.677, 5559752.598
h09v05, -10007554.677, 4447802.079
h09v06, -10007554.677, 3335851.559
h09v07, -10007554.677, 2223901.039
h09v08, -10007554.677, 1111950.520
h09v09, -10007554.677, 0.000
h10v02, -8895604.157, 7783653.638
h10v03, -8895604.157, 6671703.118
h10v04, -8895604.157, 5559752.598
h10v05, -8895604.157, 4447802.079
h10v06, -8895604.157, 3335851.559
h10v07, -8895604.157, 2223901.039
h10v08, -8895604.157, 1111950.520
h10v09, -8895604.157, 0.000
h10v10, -8895604.157, -1111950.520
h10v11, -8895604.157, -2223901.039
h11v01, -7783653.638, 8895604.157
h11v02, -7783653.638, 7783653.638
h11v03, -7783653.638, 6671703.118
h11v04, -7783653.638, 5559752.598
h11v05, -7783653.638, 4447802.079
h11v06, -7783653.638, 3335851.559
h11v07, -7783653.638, 2223901.039
h11v08, -7783653.638, 1111950.520
h11v09, -7783653.638, 0.000
h11v10, -7783653.638, -1111950.520
h11v11, -7783653.638, -2223901.039
h11v12, -7783653.638, -3335851.559
h12v01, -6671703.118, 8895604.157
h12v02, -6671703.118, 7783653.638
h12v03, -6671703.118, 6671703.118
h12v04, -6671703.118, 5559752.598
h12v05, -6671703.118, 4447802.079
h12v07, -6671703.118, 2223901.039
h12v08, -6671703.118, 1111950.520
h12v09, -6671703.118, 0.000
h12v10, -6671703.118, -1111950.520
h12v11, -6671703.118, -2223901.039
h12v12, -6671703.118, -3335851.559
h12v13, -6671703.118, -4447802.079
h13v01, -5559752.598, 8895604.157
h13v02, -5559752.598, 7783653.638
h13v03, -5559752.598, 6671703.118
h13v04, -5559752.598, 5559752.598
h13v08, -5559752.598, 1111950.520
h13v09, -5559752.598, 0.000
h13v10, -5559752.598, -1111950.520
h13v11, -5559752.598, -2223901.039
h13v12, -5559752.598, -3335851.559
h13v13, -5559752.598, -4447802.079
h13v14, -5559752.598, -5559752.598
h14v01, -4447802.079, 8895604.157
h14v02, -4447802.079, 7783653.638
h14v03, -4447802.079, 6671703.118
h14v04, -4447802.079, 5559752.598
h14v09, -4447802.079, 0.000
h14v10, -4447802.079, -1111950.520
h14v11, -4447802.079, -2223901.039
h14v14, -4447802.079, -5559752.598
h14v15, -4447802.079, -6671703.118
h14v16, -4447802.079, -7783653.638
h14v17, -4447802.079, -8895604.157
h15v01, -3335851.559, 8895604.157
h15v02, -3335851.559, 7783653.638
h15v03, -3335851.559, 6671703.118
h15v05, -3335851.559, 4447802.079
h15v07, -3335851.559, 2223901.039
h15v11, -3335851.559, -2223901.039
h15v14, -3335851.559, -5559752.598
h15v15, -3335851.559, -6671703.118
h15v16, -3335851.559, -7783653.638
h15v17, -3335851.559, -8895604.157
h16v00, -2223901.039, 10007554.677
h16v01, -2223901.039, 8895604.157
h16v02, -2223901.039, 7783653.638
h16v05, -2223901.039, 4447802.079
h16v06, -2223901.039, 3335851.559
h16v07, -2223901.039, 2223901.039
h16v08, -2223901.039, 1111950.520
h16v09, -2223901.039, 0.000
h16v12, -2223901.039, -3335851.559
h16v14, -2223901.039, -5559752.598
h16v16, -2223901.039, -7783653.638
h16v17, -2223901.039, -8895604.157
h17v00, -1111950.520, 10007554.677
h17v01, -1111950.520, 8895604.157
h17v02, -1111950.520, 7783653.638
h17v03, -1111950.520, 6671703.118
h17v04, -1111950.520, 5559752.598
h17v05, -1111950.520, 4447802.079
h17v06, -1111950.520, 3335851.559
h17v07, -1111950.520, 2223901.039
h17v08, -1111950.520, 1111950.520
h17v10, -1111950.520, -1111950.520
h17v12, -1111950.520, -3335851.559
h17v13, -1111950.520, -4447802.079
h17v15, -1111950.520, -6671703.118
h17v16, -1111950.520, -7783653.638
h17v17, -1111950.520, -8895604.157
h18v00, 0.000, 10007554.677
h18v01, 0.000, 8895604.157
h18v02, 0.000, 7783653.638
h18v03, 0.000, 6671703.118
h18v04, 0.000, 5559752.598
h18v05, 0.000, 4447802.079
h18v06, 0.000, 3335851.559
h18v07, 0.000, 2223901.039
h18v08, 0.000, 1111950.520
h18v09, 0.0000000, 0.0000000
h18v14, 0.000, -5559752.598
h18v15, 0.000, -6671703.118
h18v16, 0.000, -7783653.638
h18v17, 0.000, -8895604.157
h19v00, 1111950.520, 10007554.677
h19v01, 1111950.520, 8895604.157
h19v02, 1111950.520, 7783653.638
h19v03, 1111950.520, 6671703.118
h19v04, 1111950.520, 5559752.598
h19v05, 1111950.520, 4447802.079
h19v06, 1111950.520, 3335851.559
h19v07, 1111950.520, 2223901.039
h19v08, 1111950.520, 1111950.520
h19v09, 1111950.520, 0.000
h19v10, 1111950.520, -1111950.520
h19v11, 1111950.520, -2223901.039
h19v12, 1111950.520, -3335851.559
h19v15, 1111950.520, -6671703.118
h19v16, 1111950.520, -7783653.638
